dest_field,source_field,kind,transform,status,confidence,score,alternatives,rationale,review_decision,review_notes
uuid,Equipment,lookup,=return flow.step('eq-check').output?.uuid;,actual-run,high,,OriginalEquipmentCode,Recovered from Trimble update action update via eq-check.,,
equipmentId,Equipment,lookup,=return flow.step('eq-check').output?.equipmentId;,actual-run,high,,OriginalEquipmentCode,Recovered from Trimble update action update via eq-check.,,
equipmentName,Equipment,lookup,=return flow.step('eq-check').output?.equipmentName;,actual-run,high,,OriginalEquipmentCode,Recovered from Trimble update action update via eq-check.,,
equipmentYear,ModelYr,direct,"=// adjust backend to null out equipment year if zero
return parseInt(_.trim(flow.trigger.data?.ModelYr)) ?? null;",actual-run,high,,,Recovered from Trimble update action update.,,
equipmentManufacturerId,Manufacturer,lookup,"=const look = flow.step('lk-man')?.output;

if(look === undefined){
  return flow.step('create-man').actionResponse?.result?.equipmentManufacturerId ?? null;
}

return look?.equipmentManufacturerId;",actual-run,high,,,"Recovered from Trimble update action update via lk-man, create-man.",,
equipmentModel,Model,direct,"=if(flow.trigger.data?.Model){
  const mod = _.trim(flow.trigger.data.Model);

  if(mod === ''){
    return ' ';
  } else {
    return mod;
  }
}

return null;",actual-run,high,,,Recovered from Trimble update action update.,,
equipmentDescription,Description,direct,=return _.trim(flow.trigger.data?.Description);,actual-run,high,,,Recovered from Trimble update action update.,,
serialNumber,VINNumber,direct,"=function isVin(input) {
  if (typeof input !== 'string') return false;

  if (input === null || input === undefined) return false;

  const vin = input.trim().toUpperCase();

  //must be 17 characters long, alphanumeric and cannot contain I, O, Q
  if (!/^[A-HJ-NPR-Z0-9]{17}$/.test(vin)) return false;

  return true;
}

if (isVin(flow.trigger.data?.VINNumber ?? '')) {
  return ' ';
}

return _.trim(flow.trigger.data?.VINNumber) ?? ' ';",actual-run,high,,,Recovered from Trimble update action update.,,
vinNumber,VINNumber,direct,"=function isVin(input) {
  if (typeof input !== 'string') return false;

  if (input === null || input === undefined) return false;

  const vin = input.trim().toUpperCase();

  //must be 17 characters long, alphanumeric and cannot contain I, O, Q
  if (!/^[A-HJ-NPR-Z0-9]{17}$/.test(vin)) return false;

  return true;
}

if (!isVin(flow.trigger.data?.VINNumber ?? ' ')) {
  return null;
}

return _.trim(flow.trigger.data?.VINNumber) ?? null;",actual-run,high,,,Recovered from Trimble update action update.,,
equipmentGroupId,Category,lookup,=return flow.step('lk-grp').output?.equipmentGroupId;,actual-run,high,,,Recovered from Trimble update action update via lk-grp.,,
createdTimestampUtc,,unexplained,"flow.todo(""Select a source for createdTimestampUtc"")",question,,32%,,No candidate has enough semantic evidence. Best candidate Category: declared types match.,,
companyId,,constant,=return flow.config.ivoCompanyId;,actual-run,high,,,Recovered from Trimble update action update.,,
currentTrackVoJobId,Job,lookup,=return flow.step('look-ivo-job').output?.jobId ?? null;,actual-run,high,,,Recovered from Trimble update action update via look-ivo-job.,,
isDeleted,,constant,=return false;,actual-run,high,,,Recovered from Trimble update action update.,,
createdByUserId,,constant,=return 45;,actual-run,high,,,Recovered from Trimble add action create.,,
