field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
employeeId,yes,integer,yes,no,,100.0%,1116,0,1116,,yes,integer,5,5,0,16467,0.1%,CANDIDATE_KEY
firstName,yes,string,no,yes,,100.0%,1116,0,503,,,string,1,12,0,Jose,2.3%,
lastName,yes,string,no,yes,,100.0%,1116,0,950,,,string,2,22,0,Smith,1.1%,
nickname,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
mobilePhone,yes,string,yes,no,,100.0%,1116,0,1041,,,integer,4,14,0,NULL,6.8%,PLACEHOLDER_NULL;MIXED_FORMAT;NUMERIC_AS_STRING
emergencyContactName,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
emergencyContactNumber,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
employeeGroupId,yes,integer,yes,no,,100.0%,1116,0,26,,,integer,3,4,0,986,20.2%,PLACEHOLDER_NULL;MIXED_FORMAT
createdTimestampUtc,yes,string,yes,no,,100.0%,1116,0,1101,,,date,19,19,0,2026-07-31 17:32:27,0.3%,
isActive,yes,boolean,yes,no,,100.0%,1116,0,2,,,integer,1,1,0,1,93.8%,TYPE_MISMATCH
isDeleted,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
createdByUserId,yes,integer,yes,no,,100.0%,1116,0,1,yes,,integer,2,2,0,45,100.0%,CONSTANT
currentTrackVoJobId,yes,integer,yes,no,,100.0%,1116,0,1,yes,,integer,5,5,0,25137,100.0%,CONSTANT
companyId,yes,integer,no,yes,,100.0%,1116,0,1,yes,,integer,3,3,0,265,100.0%,CONSTANT
isLocationTracked,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
isScheduleable,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
divisionId,yes,integer,yes,no,,100.0%,1116,0,17,,,integer,3,3,0,685,67.1%,
accountingCode,yes,string,yes,no,,100.0%,1116,0,1116,,yes,integer,3,5,0,820,0.1%,CANDIDATE_KEY;NUMERIC_AS_STRING
isVendor,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
vendorName,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
canViewOtherEmployees,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
canViewOtherVendors,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
canViewJobNotes,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
canViewEquipment,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
canViewOtherEmployeeNotes,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
canViewOtherVendorNotes,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
isTrucking,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
isAssigned,yes,boolean,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
assignedCount,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
assignedToUserId,yes,integer,yes,no,,100.0%,1116,0,1111,,,integer,4,5,0,NULL,0.5%,PLACEHOLDER_NULL
employeeCode,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
isForeman,yes,boolean,yes,no,,100.0%,1116,0,2,,,integer,1,1,0,0,99.6%,TYPE_MISMATCH
defaultLaborCodeId,yes,integer,yes,no,,100.0%,1116,0,272,,,integer,4,4,0,NULL,31.0%,PLACEHOLDER_NULL;MIXED_FORMAT
uuid,yes,string,no,yes,,100.0%,1116,0,1116,,yes,uuid,36,36,0,5e3e2c5b-10f2-4545-8028-7869f9c17659,0.1%,CANDIDATE_KEY
overrideEmployeeGroupColor,yes,string,yes,no,,100.0%,1116,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
