laborCodeId,jobId,createdTimestampUtc,laborCode,description,note,accountingCode,estimatingCode,isActive,jobRegularChargeRatePerHour,jobOvertimeChargeRatePerHour,jobDoubleTimeChargeRatePerHour,uuid
1237,NULL,NULL,001.CR,"Carpenter Journeyman",NULL,CR,NULL,1,NULL,NULL,NULL,1a8e542d-4ce7-42a9-a4b5-359fa253cf39
1238,NULL,NULL,001.A60,"Carpenter Apprentice",NULL,A60,NULL,1,NULL,NULL,NULL,a26f138c-386a-4aca-a616-a1d7f9f8f5b8
1239,NULL,NULL,001.FM,"Carpenter Foreman",NULL,FM,NULL,1,NULL,NULL,NULL,89d1071e-47fe-4cc7-96d8-79edb8791ae9
1240,NULL,NULL,001.A80,"Carpenter Apprentice",NULL,A80,NULL,1,NULL,NULL,NULL,23b4a0bd-5c9d-4193-a4c3-59ea1ea9dd7a
1241,NULL,NULL,001.SP3,"Carpenter night shift",NULL,SP3,NULL,1,NULL,NULL,NULL,0361b220-d50d-487b-850d-f529a07ebdaa
1242,NULL,NULL,001.SP1,"Carpenter Special Rate",NULL,SP1,NULL,1,NULL,NULL,NULL,07b6e8e9-02cf-4f7b-94cf-7655c1cbffcb
1243,NULL,NULL,001.SP7,"Carpenter Special Rate SP7",NULL,SP7,NULL,1,NULL,NULL,NULL,997724de-d375-4402-b137-72293e6eee9a
1244,NULL,NULL,001.SP,"Carpenter Special Rate SP",NULL,SP,NULL,1,NULL,NULL,NULL,cb84ca08-bbf8-43f4-b071-d82a9f939bb0
1245,NULL,NULL,001.SP10,"Carpenter Special Rate",NULL,SP10,NULL,1,NULL,NULL,NULL,66dd1b2d-a08e-4b7a-9cf5-e15bde1954cf
1246,NULL,NULL,001.SP2,"Carpenter Special Rate",NULL,SP2,NULL,1,NULL,NULL,NULL,eabeb42f-537c-4d15-bc2a-130eecfe892f
1247,NULL,NULL,001.XSP,Carpenter,NULL,XSP,NULL,1,NULL,NULL,NULL,1748528b-8c38-44b0-b2e7-b83caa8d3093
1248,NULL,NULL,001/65.A65,"Carpenter Apprentice 65",NULL,A65,NULL,1,NULL,NULL,NULL,4a008b01-6c30-4c88-8e10-90411b123ce8
1249,NULL,NULL,001.SP6,"Carpenter Special Rate SP6",NULL,SP6,NULL,1,NULL,NULL,NULL,8b0758f6-4637-44dc-b2df-f87adc077b4c
1250,NULL,NULL,001.SP11,"Carpenter Special Rate",NULL,SP11,NULL,1,NULL,NULL,NULL,261d5a61-4520-49a2-aeb8-417f068264ed
1251,NULL,NULL,001/65.ASP,"Carpenter Appr 65 Special Rate",NULL,ASP,NULL,1,NULL,NULL,NULL,b7d7ed13-2b19-4af8-a5dc-fcdc1f2245a5
1252,NULL,NULL,001/65.ASP1,"Carpenter Appr Special ASP",NULL,ASP1,NULL,1,NULL,NULL,NULL,ebcdb103-4f21-42a4-8d23-380d646ce1b6
1253,NULL,NULL,001.SP8,"Carpenter Old Rate",NULL,SP8,NULL,1,NULL,NULL,NULL,cd6c1261-30d0-4429-9acc-156e59e87c94
1254,NULL,NULL,001.SP9,"Carpenter Special Rate SP9",NULL,SP9,NULL,1,NULL,NULL,NULL,f5b358d0-717b-465d-a021-e1f7c4342f94
1255,NULL,NULL,001.ASP,"Carp Appr Special Rate",NULL,ASP,NULL,1,NULL,NULL,NULL,b51457ae-f901-40e2-a2f1-4ca389484c8c
