field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
equipmentGroupId,yes,integer,no,yes,,100.0%,267,0,267,,yes,integer,4,4,0,4285,0.4%,CANDIDATE_KEY
equipmentGroupShortName,yes,string,no,yes,,99.6%,266,1,266,,,string,9,36,0,"Compactor CS56 84"" SD - 273",0.4%,WHITESPACE_NULL;REQUIRED_BUT_EMPTY
equipmentGroupLongName,yes,string,yes,no,,99.6%,266,1,235,,,string,4,30,0,OPEN,11.7%,WHITESPACE_NULL
equipmentGroupDescription,yes,string,yes,no,,99.6%,266,1,235,,,string,4,30,0,OPEN,11.7%,WHITESPACE_NULL
companyId,yes,integer,no,yes,,100.0%,267,0,1,yes,,integer,3,3,0,265,100.0%,CONSTANT
equipmentClassId,yes,integer,yes,no,,100.0%,267,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT
isDeleted,yes,boolean,yes,no,,100.0%,267,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
createdTimestampUtc,yes,string,yes,no,,100.0%,267,0,58,,,date,19,19,0,2026-07-15 20:18:14,3.7%,
createdByUserId,yes,integer,yes,no,,100.0%,267,0,2,,,integer,1,2,0,45,99.6%,
equipmentGroupColor,yes,string,yes,no,,100.0%,267,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
uuid,yes,string,no,yes,,100.0%,267,0,267,,yes,uuid,36,36,0,b9f24b1c-d28f-4933-924c-64e8e301b515,0.4%,CANDIDATE_KEY
