performedId,equipmentId,setupId,isDeleted,createdByUserId,datePerformed,hoursPerformed,odometerPerformed,workOrderId,createdTimestampUtc,note,uuid
47375,51864,34719,0,9236,2026-04-06,8538,NULL,97133,"2026-08-06 14:38:19","Added from Work Order",f89b5a88-d45d-43db-9ba7-d207ade0daf2
47376,51864,34771,0,9236,2026-04-06,8538,NULL,97133,"2026-08-06 14:38:19","Added from Work Order",d1d8535a-c374-4e5e-a1f7-f6c8ab25f3a6
47374,51864,34823,0,9236,2026-04-06,8538,NULL,97133,"2026-08-06 14:38:18","Added from Work Order",2d131fd9-6446-47ec-ab82-d27f515719e6
46946,51866,35908,0,9236,2026-01-21,NULL,NULL,96702,"2026-08-05 14:43:20","Added from Work Order",ce5ab1f3-d018-4f7b-bb3d-3a9d1ccf2ba0
46942,51867,35898,0,9236,2025-10-01,NULL,NULL,96700,"2026-08-05 14:40:34","Added from Work Order",ec2c2fa5-d5a8-40f1-af0b-4942a5b1555b
46937,51875,35895,0,9236,2025-11-04,NULL,NULL,96697,"2026-08-05 14:37:31","Added from Work Order",c76e0d91-bc35-4779-9409-b95bda5d2bfa
47385,51880,34830,0,9236,2026-02-24,6162,NULL,97142,"2026-08-06 14:41:46","Added from Work Order",682beb45-2a6b-4bce-9f6c-3f2407e1ab5e
47386,51880,34726,0,9236,2026-02-24,6162,NULL,97142,"2026-08-06 14:41:46","Added from Work Order",a8739e46-c6f0-4781-8c21-eb0aa068720a
47387,51880,34778,0,9236,2026-02-24,6162,NULL,97142,"2026-08-06 14:41:46","Added from Work Order",2623f3ba-a4c0-43d7-9816-c65a8c24e561
47380,51881,34859,0,9236,2026-08-01,9647,NULL,97139,"2026-08-06 14:40:42","Added from Work Order",8c18e6fe-1cb6-4628-a3a4-2db49fdf1d22
47381,51881,34867,0,9236,2026-08-01,9647,NULL,97139,"2026-08-06 14:40:42","Added from Work Order",c12f35d6-63a5-4796-8a5f-7d206c056aa0
47382,51881,34863,0,9236,2026-08-01,9647,NULL,97139,"2026-08-06 14:40:42","Added from Work Order",9cd0be7d-8557-4ceb-87eb-515d547f4c57
46960,51883,35917,0,9236,2026-01-21,NULL,NULL,96711,"2026-08-05 14:55:06","Added from Work Order",24aa7040-28f5-4d2e-a339-27dfc34728e7
