setupId,equipmentId,createdTimestampUtc,pmTypeId,isDeleted,isActive,pmName,intervalHours,intervalDays,intervalOdometer,beginningHours,beginningDate,beginningOdometer,fixedDate,fixedHours,fixedOdometer,partsNote,workNote,createdByUserId,triggerDays,triggerHours,triggerOdometer,lastPmPerformedId,companyEquipmentPmTemplateId,uuid
34719,51864,"2026-07-29 21:15:32",1,0,1,"1000 HR SERVICE (EXCAVATOR)",1000,NULL,NULL,NULL,NULL,NULL,NULL,1000,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","INCLUDES ALL 500 HR TASKS, PLUS:
REPLACE HYDRAULIC RETURN FILTER
REPLACE PILOT FILTER
INSPECT PUMPS
INSPECT SWING DRIVE
INSPECT ROLLERS
INSPECT IDLERS
INSPECT TRACK CHAINS
PERFORM DIAGNOSTIC SCAN
",1288,NULL,40,NULL,47375,2585,266987d5-c6e4-4116-9585-0d4eba6d3646
34771,51864,"2026-07-29 21:16:35",1,0,1,"2000 HR SERVICE (EXCAVATOR)",2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","INCLUDES ALL 1000 HR TASKS
SAMPLE HYDRAULIC OIL
REPLACE COOLANT
INSPECT MAIN PUMPS
INSPECT SWING GEARBOX
INSPECT TRAVEL GEARBOXES
HYDRAULIC PERFORMANCE TEST
",1288,NULL,40,NULL,47376,2633,4c3b4003-4fa4-457c-b057-4f04c1314472
34823,51864,"2026-07-29 21:17:42",1,0,1,"500 HR SERVICE (EXCAVATOR)",500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","CHANGE ENGINE OIL
REPLACE ENGINE OIL FILTER
REPLACE FUEL FILTERS
REPLACE AIR FILTERS
CHECK ALL FLUIDS
GREASE BOOM PINS & BUSHINGS
GREASE STICK PINS
GREASE BUCKET PINS
GREASE SWING BEARING
INSPECT TIRES/TRACKS
INSPECT CYLINDERS
INSPECT UNDERCARRIAGE
INSPECT/CHANGE FINAL DRIVES
CHECK FAULT CODES
RESET SERVICE METER
",1288,NULL,40,NULL,47374,2694,be15114c-d5e5-4bcf-9179-1f7ab7a51343
35908,51866,"2026-07-31 15:45:24",3,0,1,"CALIBRATION - (MASTER TAPE)  - 1825 DAY - REPLACE",NULL,1825,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,"*NOTICE TO REPLACE MASTER TAPES AFTER 5-YEAR TO AVOID CALIBRATION PAPERWORK. ",1288,7,NULL,NULL,46946,2753,1b6353b9-0641-4896-a253-6e6350718a6b
35898,51867,"2026-07-31 15:43:48",3,0,1,"CALIBRATION - (FLUKE METER) - 365 DAY",NULL,365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
","365 DAY INTERVAL. SUBMIT WEVR PAPERWORK. WORK ORDER WILL NOT CLOSE UNLESS PAPERWORK IS CORRECT & SUBMITTED.",1288,7,NULL,NULL,46942,2752,15183672-f4a4-421f-9854-87f7ab26ff62
35900,51869,"2026-07-31 15:43:49",3,1,0,"CALIBRATION - (FLUKE METER) - 365 DAY",NULL,365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
","365 DAY INTERVAL. SUBMIT WEVR PAPERWORK. WORK ORDER WILL NOT CLOSE UNLESS PAPERWORK IS CORRECT & SUBMITTED.",1288,7,NULL,NULL,NULL,2752,22386ec5-2e7c-44e5-a645-0b166ec01acb
35895,51875,"2026-07-31 15:43:46",3,0,1,"CALIBRATION - (FLUKE METER) - 365 DAY",NULL,365,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"
","365 DAY INTERVAL. SUBMIT WEVR PAPERWORK. WORK ORDER WILL NOT CLOSE UNLESS PAPERWORK IS CORRECT & SUBMITTED.",1288,7,NULL,NULL,46937,2752,22b9b77f-ab61-4d3a-8e75-f1d7116f929f
34726,51880,"2026-07-29 21:15:39",1,0,1,"1000 HR SERVICE (EXCAVATOR)",1000,NULL,NULL,NULL,NULL,NULL,NULL,1000,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","INCLUDES ALL 500 HR TASKS, PLUS:
REPLACE HYDRAULIC RETURN FILTER
REPLACE PILOT FILTER
INSPECT PUMPS
INSPECT SWING DRIVE
INSPECT ROLLERS
INSPECT IDLERS
INSPECT TRACK CHAINS
PERFORM DIAGNOSTIC SCAN
",1288,NULL,40,NULL,47386,2585,7106aa5b-95f7-4fe7-b959-9ce6eb57ca9c
34778,51880,"2026-07-29 21:16:40",1,0,1,"2000 HR SERVICE (EXCAVATOR)",2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","INCLUDES ALL 1000 HR TASKS
SAMPLE HYDRAULIC OIL
REPLACE COOLANT
INSPECT MAIN PUMPS
INSPECT SWING GEARBOX
INSPECT TRAVEL GEARBOXES
HYDRAULIC PERFORMANCE TEST
",1288,NULL,40,NULL,47387,2633,173b0d6c-b880-459e-8e17-c84f6fe95927
34830,51880,"2026-07-29 21:17:48",1,0,1,"500 HR SERVICE (EXCAVATOR)",500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","CHANGE ENGINE OIL
REPLACE ENGINE OIL FILTER
REPLACE FUEL FILTERS
REPLACE AIR FILTERS
CHECK ALL FLUIDS
GREASE BOOM PINS & BUSHINGS
GREASE STICK PINS
GREASE BUCKET PINS
GREASE SWING BEARING
INSPECT TIRES/TRACKS
INSPECT CYLINDERS
INSPECT UNDERCARRIAGE
INSPECT/CHANGE FINAL DRIVES
CHECK FAULT CODES
RESET SERVICE METER
",1288,NULL,40,NULL,47385,2694,e597e5c6-6a30-4fa1-9610-6bf64c7ca88f
34859,51881,"2026-07-30 12:41:37",1,0,1,"500 HR SERVICE (MOTOR GRADER)",500,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","CHANGE ENGINE OIL & FILTER
REPLACE FUEL FILTER(S)
INSPECT AIR FILTER
CHECK HYDRAULIC OIL LEVEL
GREASE ALL FITTINGS
INSPECT MOLDBOARD
INSPECT CIRCLE DRIVE
CHECK CUTTING EDGE WEAR
CHECK TIRES
INSPECT STEERING COMPONENTS
TEST LIGHTS AND SAFETY DEVICES
",1288,NULL,40,NULL,47380,2696,4cceacdb-c1d9-489a-8c5d-d5584b36e43c
34863,51881,"2026-07-30 12:42:03",1,0,1,"2000 HR SERVICE (MOTOR GRADER)",2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","COMPLETE 1000 HR SERVICE
SAMPLE HYDRAULIC OIL
CHANGE TANDEM OILS
REPLACE COOLANT
REPLACE ALL FILTERS
INSPECT CIRCLE DRIVE COMPONENTS
INSPECT PINS AND BUSHINGS
INSPECT FRAME AND STRUCTURAL COMPONENTS
COMPLETE SAFETY INSPECTION
",1288,NULL,40,NULL,47382,2634,650669f6-725b-4224-8471-c8a92c5c87bd
34867,51881,"2026-07-30 12:42:26",1,0,1,"1000 HR SERVICE (MOTOR GRADER)",1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SEE EQUIPMENT DETAILS - PARTS TAB OR WRITE IN PARTS USED:
","COMPLETE 500 HR SERVICE
REPLACE AIR FILTERS
REPLACE HYDRAULIC FILTERS
CHECK TANDEM OIL LEVELS
INSPECT CIRCLE WEAR STRIPS
INSPECT ARTICULATION JOINT
CHECK COOLING SYSTEM
INSPECT BRAKES
INSPECT ELECTRICAL SYSTEM
",1288,NULL,40,NULL,47381,2586,c7f68e37-11c7-4630-aa9d-d73dda0bf898
