equipmentCodeId,jobId,createdTimestampUtc,createdByUserId,equipmentCode,description,accountingCode,estimatingCode,jobOperatorLaborCodeId,isActive,jobChargeRatePerHour,uuid
2711,NULL,NULL,45,116200,"AMERICAN OHIO 5030-DE LOCOMOTIVE CRANE - 35 TON",1S,NULL,NULL,1,NULL,2a30f6b4-04cb-4e07-9013-671c68c4cdbd
2712,NULL,NULL,45,117600,"MANITOWOC MLC165-1",1S,NULL,NULL,1,NULL,e71bfbf6-0a9a-4d28-b9bc-557533cb558b
2713,NULL,NULL,45,116200,"AMERICAN OHIO 5030-DE LOCOMOTIVE CRANE - 35 TON",8,NULL,NULL,1,NULL,eb9e161f-1031-447b-a4b8-b5badab8d141
2714,NULL,NULL,45,116200,"AMERICAN OHIO 5030-DE LOCOMOTIVE CRANE - 35 TON",1O,NULL,NULL,1,NULL,1149afb6-200a-43cf-97fc-61e678b51c13
2715,NULL,NULL,45,117600,"MANITOWOC MLC165-1",1O,NULL,NULL,1,NULL,5adb2caa-3238-41d3-8c98-5cf214644d77
2716,NULL,NULL,45,118300,"TADANO GTC-1300 TELE-CRAWLER",1O,NULL,NULL,1,NULL,4dd14781-0d19-4af9-95e9-1fa915b067a9
2717,NULL,NULL,45,117800,"MANITOWOC MLC165-1",1O,NULL,NULL,1,NULL,2adcb7b3-f082-4644-bffd-df8079ef3898
2718,NULL,NULL,45,119000,"MANITOWOC MLC165-1",1O,NULL,NULL,1,NULL,63d0782b-cdd6-45cc-9ea0-a9a0aae0a091
2719,NULL,NULL,45,117800,"MANITOWOC MLC165-1",1M,NULL,NULL,1,NULL,8f753fd6-85fc-45de-86d0-cddff0a0bee1
2720,NULL,NULL,45,117600,"MANITOWOC MLC165-1",1M,NULL,NULL,1,NULL,40f07cad-2fc0-426f-b238-e6ece1fd70e3
2721,NULL,NULL,45,422000,"HI-RAIL ROTARY DUMP TRUCK-FORD LT9513 (TO AUCTION)",1O,NULL,NULL,1,NULL,0187f758-60ad-4e9c-8ab2-80e9bdd46a8f
2722,NULL,NULL,45,118300,"TADANO GTC-1300 TELE-CRAWLER",1M,NULL,NULL,1,NULL,354849c9-a049-4851-ae25-8b21b9d81c48
2723,NULL,NULL,45,119300,"TADANO GTC-900 TELE-CRAWLER (ON RPO Hayden-Murphy)",1O,NULL,NULL,1,NULL,8fb80af9-ee85-4c50-b11b-4bfaaaf04d84
2724,NULL,NULL,45,116200,"AMERICAN OHIO 5030-DE LOCOMOTIVE CRANE - 35 TON",1M,NULL,NULL,1,NULL,c10d52b2-30bf-42cf-ae8d-1128a14a95b7
2725,NULL,NULL,45,117600,"MANITOWOC MLC165-1",8,NULL,NULL,1,NULL,f087e5bd-6599-4e99-b118-df1921a64232
2726,NULL,NULL,45,422200,"HI-RAIL CONCRETE TRUCK-VOLVO",1M,NULL,NULL,1,NULL,bdc77cf8-5ca9-4082-bfe8-65143a657279
2727,NULL,NULL,45,422000,"HI-RAIL ROTARY DUMP TRUCK-FORD LT9513 (TO AUCTION)",8,NULL,NULL,1,NULL,7a6ef370-e522-4821-98ac-986241e62500
2728,NULL,NULL,45,422000,"HI-RAIL ROTARY DUMP TRUCK-FORD LT9513 (TO AUCTION)",1S,NULL,NULL,1,NULL,9353792a-204b-41d7-8ec3-12f431f7e5b7
2729,NULL,NULL,45,422100,"HI-RAIL ROTARY DUMP TRUCK-FREIGHTLINER M2",1O,NULL,NULL,1,NULL,3d997f81-2532-4342-b281-e3521ac902c1
2730,NULL,NULL,45,423300,"HI-RAIL CABLE BOOM TRUCK-WESTERN STAR 4700SB (26Ton)",1S,NULL,NULL,1,NULL,923cf435-5c5f-4a5d-a270-1aa4f3c77b76
2731,NULL,NULL,45,422000,"HI-RAIL ROTARY DUMP TRUCK-FORD LT9513 (TO AUCTION)",1M,NULL,NULL,1,NULL,63d75223-8e76-4c1e-88c7-a138606b4678
2732,NULL,NULL,45,422100,"HI-RAIL ROTARY DUMP TRUCK-FREIGHTLINER M2",8,NULL,NULL,1,NULL,20f37718-0d8b-44f4-988c-93202d1190a0
2733,NULL,NULL,45,118300,"TADANO GTC-1300 TELE-CRAWLER",1S,NULL,NULL,1,NULL,84c7bbed-5127-4e59-b484-5395b5e2a5d4
2734,NULL,NULL,45,422200,"HI-RAIL CONCRETE TRUCK-VOLVO",1S,NULL,NULL,1,NULL,64510231-bc41-449c-b0b4-b8a25ce2562a
2735,NULL,NULL,45,424000,"CAT 745GC HAUL TRUCK (Off Road Only)(On RPO) Fabick(Totaled)",1O,NULL,NULL,1,NULL,882a0d0a-07b1-4eae-b5d5-2e66b20ecc66
2736,NULL,NULL,45,422100,"HI-RAIL ROTARY DUMP TRUCK-FREIGHTLINER M2",1M,NULL,NULL,1,NULL,5662a47c-3a6f-412f-acb0-21a22692d378
2737,NULL,NULL,45,423300,"HI-RAIL CABLE BOOM TRUCK-WESTERN STAR 4700SB (26Ton)",1M,NULL,NULL,1,NULL,e089afb3-8002-49c0-8948-53d9e73c3ece
2738,NULL,NULL,45,422200,"HI-RAIL CONCRETE TRUCK-VOLVO",1O,NULL,NULL,1,NULL,041a6321-32f2-4821-b985-ac889a2b40f2
2739,NULL,NULL,45,424500,"CAT 740GC HAUL TRUCK (Off Road Only)",1O,NULL,NULL,1,NULL,699daab2-0873-4b28-baf3-9cc9c3eb885a
2740,NULL,NULL,45,422100,"HI-RAIL ROTARY DUMP TRUCK-FREIGHTLINER M2",1S,NULL,NULL,1,NULL,20e580ba-73b7-4ae7-b3ec-f0b9fe952185
2741,NULL,NULL,45,424200,"CAT 745 HAUL TRUCK (Off Road Only)",1O,NULL,NULL,1,NULL,8afad06a-c066-4d33-91b9-1839fe93c6a8
2742,NULL,NULL,45,434200,"FREIGHTLINER 4000G WATER TRUCK",8D,NULL,NULL,1,NULL,b5bbdd1f-6cf6-4395-a2f6-162d5fb312c8
2743,NULL,NULL,45,423300,"HI-RAIL CABLE BOOM TRUCK-WESTERN STAR 4700SB (26Ton)",8,NULL,NULL,1,NULL,cacb681d-ad77-4ce5-91d8-fe1e4f392512
2744,NULL,NULL,45,422200,"HI-RAIL CONCRETE TRUCK-VOLVO",8,NULL,NULL,1,NULL,7a15f6e3-d0a4-42a4-9121-e1900acd8aa6
2745,NULL,NULL,45,434500,"INTERNATIONAL 4000G WATER TRUCK",1O,NULL,NULL,1,NULL,f432d196-3182-41e3-82b0-05db4da320e4
2746,NULL,NULL,45,423400,"HI-RAIL KNUCKLE BOOM TRK-WESTERN STAR",1S,NULL,NULL,1,NULL,cc5d8a40-12ba-41dd-b48c-3f358aa21186
2747,NULL,NULL,45,424600,"HI-RAIL ROTARY DUMP-INTERNATIONAL 1145D",1M,NULL,NULL,1,NULL,bea09ca1-1d8d-46f9-be20-ef881ca1d40f
2748,NULL,NULL,45,434200,"FREIGHTLINER 4000G WATER TRUCK",1O,NULL,NULL,1,NULL,209efdb8-1d52-45d0-838d-7acaa7707943
2749,NULL,NULL,45,423300,"HI-RAIL CABLE BOOM TRUCK-WESTERN STAR 4700SB (26Ton)",1O,NULL,NULL,1,NULL,b2cc2c75-e5f3-48dc-9ae8-004e853bca41
2750,NULL,NULL,45,434200,"FREIGHTLINER 4000G WATER TRUCK",8M,NULL,NULL,1,NULL,07f734e2-0274-4370-bb02-baae79fe3d40
2751,NULL,NULL,45,423400,"HI-RAIL KNUCKLE BOOM TRK-WESTERN STAR",1M,NULL,NULL,1,NULL,a09fffe5-c860-477b-a305-61513fb9a5ca
2752,NULL,NULL,45,434400,"INTERNATIONAL 4000G WATER TRUCK",1O,NULL,NULL,1,NULL,377bc46b-49d2-45dd-9076-b91af0654ca6
2753,NULL,NULL,45,525300,"CAT 938M LOADER",FHM,NULL,NULL,1,NULL,af8b7f83-3fe8-424a-a880-c05a00f4051d
2754,NULL,NULL,45,424600,"HI-RAIL ROTARY DUMP-INTERNATIONAL 1145D",1O,NULL,NULL,1,NULL,8d6111b8-4f22-4acf-a041-91d24cbd0b7b
2755,NULL,NULL,45,434300,"WATER TRUCK 2000 GAL KENWORTH T270",1O,NULL,NULL,1,NULL,a47f293b-4e74-412f-bf65-7cb4f19ad2fe
2756,NULL,NULL,45,525300,"CAT 938M LOADER",1M,NULL,NULL,1,NULL,53ec5849-9155-40d0-9bea-ef9e9a6f1db7
2757,NULL,NULL,45,434900,"FREIGHTLINER 4K WATER TRUCK (On RPO) Wagner - Was R-537903",1O,NULL,NULL,1,NULL,6ab8c627-5c84-41e3-841d-1ecbb3008e3c
2758,NULL,NULL,45,434200,"FREIGHTLINER 4000G WATER TRUCK",1M,NULL,NULL,1,NULL,9ff20ea4-8b19-4bda-83d9-3919dec59bc7
2759,NULL,NULL,45,423400,"HI-RAIL KNUCKLE BOOM TRK-WESTERN STAR",1O,NULL,NULL,1,NULL,d6bd2440-932b-4a0e-9ea7-3590d0a6ac66
2760,NULL,NULL,45,434600,"WATER TRUCK 2000 GAL FORD F750",1O,NULL,NULL,1,NULL,ce983391-26bf-4363-a0ac-b1087d79dad0
2761,NULL,NULL,45,525400,"CAT 938M LOADER",1O,NULL,NULL,1,NULL,9501fe67-6ca5-4e2f-a31e-54af1be44dca
2762,NULL,NULL,45,525400,"CAT 938M LOADER",FHM,NULL,NULL,1,NULL,c70e70c3-1fb1-4be7-8891-3eb97e4f2b91
2763,NULL,NULL,45,525500,"CAT 950GC LOADER",1M,NULL,NULL,1,NULL,a0242ede-6f32-459e-9087-2de4f1b6ba5c
2764,NULL,NULL,45,525400,"CAT 938M LOADER",1M,NULL,NULL,1,NULL,e8f6a260-2735-4a25-9910-429d443dda22
2765,NULL,NULL,45,525500,"CAT 950GC LOADER",FHM,NULL,NULL,1,NULL,0dbc91d0-8f16-4a2f-a625-661ee592251e
2766,NULL,NULL,45,525600,"CAT 972M LOADER",1M,NULL,NULL,1,NULL,63c85ba1-95b0-4531-9330-3fb5e9ab0f78
2767,NULL,NULL,45,525900,"CAT 938M LOADER",1O,NULL,NULL,1,NULL,9e72bebe-a7d7-452a-b921-2bb15024028e
2768,NULL,NULL,45,525700,"CAT 950GC LOADER",1M,NULL,NULL,1,NULL,e4100ebf-ee25-4b8c-b840-2d3e7bfc6897
2769,NULL,NULL,45,525700,"CAT 950GC LOADER",FHM,NULL,NULL,1,NULL,d01b05fc-a57c-4676-a034-aa3272d648c2
2770,NULL,NULL,45,525600,"CAT 972M LOADER",FHM,NULL,NULL,1,NULL,c706f949-1e5b-4a71-83cd-ffab2cc6a3c0
2771,NULL,NULL,45,525800,"CAT 950GC LOADER",1M,NULL,NULL,1,NULL,097136a5-1eec-4a4f-8e12-174ed70e555a
2772,NULL,NULL,45,545900,"BUCKET 66" SKELETON WT-HEX",8,NULL,NULL,1,NULL,2d6d37eb-1f59-4060-bec9-a9ff1acf19bf
2773,NULL,NULL,45,526200,"CAT 950GC LOADER",1O,NULL,NULL,1,NULL,4ecd3c5d-3a73-4a4b-8590-58ef2d41a303
