field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
equipmentCodeId,yes,integer,no,yes,,100.0%,1918,0,1918,,yes,integer,4,4,0,2711,0.1%,CANDIDATE_KEY
jobId,yes,integer,yes,no,,100.0%,1918,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
createdTimestampUtc,yes,string,yes,no,,100.0%,1918,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
createdByUserId,yes,integer,yes,no,,100.0%,1918,0,1,yes,,integer,2,2,0,45,100.0%,CONSTANT
equipmentCode,yes,string,no,yes,100,100.0%,1918,0,821,,,string,6,8,0,560500,0.3%,MIXED_FORMAT
description,yes,string,yes,no,100,99.8%,1914,4,608,,,string,4,60,0,CAT950 LOADER (Wagner),1.9%,
accountingCode,yes,string,yes,no,100,100.0%,1918,0,8,,,string,1,3,0,1O,35.2%,MIXED_FORMAT
estimatingCode,yes,string,yes,no,100,100.0%,1918,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
jobOperatorLaborCodeId,yes,integer,yes,no,,100.0%,1918,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
isActive,yes,boolean,no,yes,,100.0%,1918,0,2,,,integer,1,1,0,1,99.9%,TYPE_MISMATCH
jobChargeRatePerHour,yes,number,yes,no,,100.0%,1918,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,1918,0,1918,,yes,uuid,36,36,0,2a30f6b4-04cb-4e07-9013-671c68c4cdbd,0.1%,CANDIDATE_KEY
