jobId,jobNumber,jobShortName,jobLongName,jobDescription,jobColor,divisionId,divisionDisplayName,jobTypeId,jobTypeDisplayName,jobDisplayNameWithJobNumber,jobDisplayName,isActive,emergencyHospitalName,emergencyHospitalAddress,emergencyHospitalPhone,uuid,accountingCode,estimatingCode,organizations
24976,482304,"Confluence Parkway - JV Share","Harry S Truman Parkway","Confluence Parkway - JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,bc5a105f-b1fb-49fa-acbe-d6f262646673,NULL,NULL,[]
24984,242304,"North Creek Greenway Trail","173rd St in Lakeville to 189th St in Farmington","North Creek Greenway Trail",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,5480c149-c439-4e65-b5cb-de45d504954e,NULL,NULL,[]
24985,062404,"On-Call Community Network Bike Facilities Package 2","On-Call Community Network Bike Facilities Package 2","On-Call Community Network Bike Facilities Package 2",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,5035cb85-b069-41f5-a041-123ff5ebd734,NULL,NULL,[]
24988,242409,"Wright County Eastwood Avenue","Wright County Eastwood Avenue","Wright County Eastwood Avenue",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,cd193456-d0ed-4f5c-969d-0802d3334765,NULL,NULL,[]
24989,242413,"Broadway Ave N Reconstruction","Broadway Avenue North - Silver Lake Bridge/14th St.","Broadway Ave N Reconstruction",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,e88a8c34-756c-4298-a253-94e29eab9aaa,NULL,NULL,[]
24991,062508,"E-470 MM 1 Sign Bridge Replacement","E-470 MM 1 Sign Bridge Replacement","E-470 MM 1 Sign Bridge Replacement",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,eade74e8-990c-42c9-a4c6-b52e47ed8e7a,NULL,NULL,[]
24992,062412,"On-Call S Monaco Pkwy Bridge over Cherry Creek","S Monaco Pkwy Bridge over Cherry Creek","On-Call S Monaco Pkwy Bridge over Cherry Creek",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,18d88f29-db8f-463e-8544-40693990ee7d,NULL,NULL,[]
24993,242411,"Bluff Drive Over 169","Bluff Drive TH 169 Overpass","Bluff Drive Over 169",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,a6b896bf-1bdf-422e-a56a-2ee2805c4b93,NULL,NULL,[]
24995,061802,"I-25 North KNA Reimbursable Costs","I-25 North KNA Reimbursable Costs","I-25 North KNA Reimbursable Costs",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,7fbcb616-87c6-4897-83ec-a3b3444df9c2,NULL,NULL,[]
25000,142201,"Houbolt Road Toll Plaza -JV Share","Houbolt Road Toll Plaza -JV Share","Houbolt Road Toll Plaza -JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,325078c8-9e81-4020-bc0c-62fb93578ef3,NULL,NULL,[]
25004,3152,"East Fork Lewis","East Fork Lewis","East Fork Lewis",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,f03950ec-7714-4401-ac47-4362c06dc203,NULL,NULL,[]
25006,242313,"Stone Arch Bridge Rehab","St. Anthony Stone Arch Bridge - Hennepin County","Stone Arch Bridge Rehab",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,5272fec8-4115-4bdf-a70e-d7827aee74cb,NULL,NULL,[]
25014,242513,"TH 35 Duluth Rehab","TH 35 - St. Louis County","TH 35 Duluth Rehab",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,5f4ff785-93f1-464f-9fac-ae6407401700,NULL,NULL,[]
25015,482506,"Confluence Parkway South - JV Share","Confluence Parkway South - JV Share","Confluence Parkway South - JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,55f56376-40bb-42e3-81e5-88b1ec672a04,NULL,NULL,[]
25016,232303,"Bay City Liberty Tolling System - JV Share","Harry S Truman Parkway","Bay City Liberty Tolling System - JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,125b4d31-e3cf-4385-8cfa-ef8ceaeb8fb1,NULL,NULL,[]
25020,242013,"Twin Ports KNA-Ames JV Reimbursable Costs","Twin Ports KNA-Ames JV Reimbursable Costs","Twin Ports KNA-Ames JV Reimbursable Costs",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,b22f8af8-2a64-447f-be7b-068887f8df1a,NULL,NULL,[]
25021,141902,"Houbolt Road -JV Share","Houbolt Road -JV Share","Houbolt Road -JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,55b8eac8-f3e0-402d-ac0b-dbd22b69ce62,NULL,NULL,[]
25022,062215,"Broadway Station South Pedestrian Bridge","Broadway Station Bridges - South Pedestrian Bridge","Broadway Station South Pedestrian Bridge",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,cea2fd63-40a5-4290-b09d-e242ae92120e,NULL,NULL,[]
25023,242514,"Winton MP Substation","Winton MP Substation","Winton MP Substation",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,e163f3c2-d4ec-4749-8d1f-a2f36ef814e9,NULL,NULL,[]
25024,392502,"W&LE Bridge 27.79 and 79.64 Span Replacements","W&LE Bridge 27.79 and 79.64 Span Replacements","W&LE Bridge 27.79 and 79.64 Span Replacements",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,b7757fee-71dc-4661-9aab-20174b299a11,NULL,NULL,[]
25027,242014,"Twin Ports -KNA-Ames JV Share","Twin Ports -KNA-Ames JV Share","Twin Ports -KNA-Ames JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,fb201bdc-4aae-439e-807c-c44005c5e2b9,NULL,NULL,[]
25034,241911,"I-35 Storm Water Package 1  KNA JV Share","I-35 Storm Water Package 1  KNA JV Share","I-35 Storm Water Package 1  KNA JV Share",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,021e85ab-2aad-418b-8672-26944a3cb77b,NULL,NULL,[]
25036,232001,"Bay City Bascule Bridges Pre-Construction - Reimbursable","Bay City Bascule Bridges Pre-Construction - Reimbursable","Bay City Bascule Bridges Pre-Construction - Reimbursable",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,65b9c33e-9e89-4700-993a-fb1c8cc7cad8,NULL,NULL,[]
25037,242503,"KMM Misc Works","KMM Misc Works","KMM Misc Works",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,239f71db-d69d-4fb2-8009-1894f29f13a3,NULL,NULL,[]
25038,062309,"CVI Pkg. 1","Crystal Valley Interchange","CVI Pkg. 1",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,4b7f80eb-43e8-40a4-8513-ed2b7921bebe,NULL,NULL,[]
25040,142501,"NB I-39 Kishwaukee River Emergency Repair","NB I-39 Kishwaukee River Emergency Repair","NB I-39 Kishwaukee River Emergency Repair",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,413ad91f-94a7-43a3-8739-f073c2a038c7,NULL,NULL,[]
25041,242506,"CN Duluth Ore Dock","CN Duluth Ore Dock","CN Duluth Ore Dock",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,12273f4f-778b-4675-a8e4-f3043e7794a2,NULL,NULL,[]
25043,062308,"Floyd Hill Package 1","Floyd Hill - Clear Creek County","Floyd Hill Package 1",Green,721,NULL,NULL,NULL,NULL,NULL,0,,,,4013d11d-9c63-4598-8d13-eac2535fdf32,NULL,NULL,[]
25047,352301,"Fargo - BNSF Prosper and KO","Fargo - BNSF Prosper and KO","Fargo - BNSF Prosper and KO",#000000,634,NULL,NULL,NULL,NULL,NULL,0,,,,9802b55a-81b3-499b-ad37-8c0d8b1b6ffc,NULL,NULL,[]
