costCodeId,costCode,description,jobId,quantity,quantityUnitType,note,createdTimestampUtc,isActive,isDeleted,accountingCode,estimatingCode,costCodeTemplateId,uuid
73930,00.10805,Mechanic,24976,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,da0da1a8-ed0d-4148-a69e-f76b7c027c11
73931,00.10020,"Setup Cranes",24976,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,bb6f7a30-e37d-43c2-860b-8ab5c089b8f5
73933,00.78855,"Vehicle Damage - Job Charged",24976,NULL," ",NULL,NULL,1,0,00.78855,NULL,NULL,33d0621c-de54-4421-bfca-a522badc0c5c
73934,00.78850,"Job Damaged Equip Reparis",24976,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,369288f6-75aa-4b0f-bc34-1d7c4822fc45
73960,00.10805,Mechanic,24984,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,f0225b01-0f0b-4297-8787-1afb975f0981
73961,00.10020,"Setup Cranes",24984,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,0ea5c517-8a50-40b0-aa74-e1dceb545213
73962,00.78850,"Job Damaged Equip Reparis",24984,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,a9c6b48d-4ad6-4e96-8d10-8f7c7acbac8c
73963,00.78855,"Vehicle Damage - Job Charged",24984,NULL," ",NULL,NULL,1,0,00.78855,NULL,NULL,1b29de3a-8be0-406e-85f9-67320a783f70
73973,00.10020,"Setup Cranes",24985,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,38d96f0b-9a19-4ba7-a82b-73c70088ef9b
73974,00.78850,"Job Damaged Dirt Equip Reparis",24985,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,c940b105-26ee-4dec-aaff-92414073ea0c
73976,00.78855,"Vehicle Damage - Job Charged",24985,NULL,EA,NULL,NULL,1,0,00.78855,NULL,NULL,95a96b4b-0cf8-47b3-9e3f-9d04ca62f87e
73977,00.78852,"Structure Equipment Damages",24985,NULL,EA,NULL,NULL,1,0,00.78852,NULL,NULL,2c929478-7a4b-4a83-a1f2-a07782fade8e
73980,00.10805,Mechanic,24985,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,ede1e7c1-e8f5-41af-abe3-c4d6314df2bb
73978,00.10020,"Setup Cranes",24988,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,be15e641-b387-4bfa-ace9-ad262b28e8e5
73979,00.10805,Mechanic,24988,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,1f603226-58b3-4c6d-8771-f0ea1485919c
73981,00.78855,"Vehicle Damage - Job Charged",24988,NULL," ",NULL,NULL,1,0,00.78855,NULL,NULL,0e456797-4fc5-46c3-9e2a-5416da540307
73982,00.78850,"Job Damaged Equip Reparis",24988,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,df630808-7d24-4815-8dea-2b553ec9ba84
73983,00.78852,"Structure Equipment Damages",24988,NULL,EA,NULL,NULL,1,0,00.78852,NULL,NULL,c3a88093-4791-41a2-8fbe-010b7beea61c
73989,00.10805,Mechanic,24989,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,89a10b20-15d5-4d95-82a7-74c025279e3b
73990,00.10020,"Setup Cranes",24989,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,ecb7be86-8b71-43dc-8687-0b38035419c5
73991,00.78855,"Vehicle Damage - Job Charged",24989,NULL," ",NULL,NULL,1,0,00.78855,NULL,NULL,1d644d0a-4c21-49b4-b6f7-70befbdaedeb
73992,00.78850,"Job Damaged Equip Reparis",24989,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,d712449d-e114-4568-9e93-9dd195683d46
74032,00.10020,"Setup Cranes",24991,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,ab37d37f-3738-406c-93a0-7e953fef9408
74033,00.78850,"Dirt Equipment Damages",24991,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,4811b610-32d1-458d-80c4-0530c249086b
74035,00.10805,Mechanic,24991,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,f062d559-d683-4c29-a35f-688af8d7fc98
74036,00.78855,"Vehicle Damage - Job Charged",24991,NULL," ",NULL,NULL,1,0,00.78855,NULL,NULL,efc09007-c31b-4cf9-b898-9316e99a90a3
74037,00.78852,"Structure Equipment Damages",24991,NULL,EA,NULL,NULL,1,0,00.78852,NULL,NULL,131d964f-2dda-42b8-a9cd-2e701cf8cea1
73993,00.10020,"Setup Cranes",24992,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,8a3b3bd1-b416-4511-9172-ed3f39acc173
73994,00.78850,"Job Damaged Equip Reparis",24992,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,8bfc4c1f-39c6-458a-9948-42a876fffd0b
73995,00.10805,Mechanic,24992,NULL,EA,NULL,NULL,1,0,00.10805,NULL,NULL,a9912afb-08f3-43ca-a33f-eb0e71f04d91
73996,00.78852,"Structure Equipment Damages",24992,NULL,EA,NULL,NULL,1,0,00.78852,NULL,NULL,d68ec7bb-5866-4b20-a62f-1542f01faf90
73997,00.78855,"Vehicle Damage - Job Charged",24992,NULL,EA,NULL,NULL,1,0,00.78855,NULL,NULL,9706c924-1c14-4c5e-9361-4f197b975c57
73998,00.10020,"Setup Cranes",24993,NULL,EA,NULL,NULL,1,0,00.10020,NULL,NULL,7c5a174a-a107-41d1-8d05-0a1909a09650
73999,00.78850,"Job Damaged Dirt Equip Reparis",24993,NULL,EA,NULL,NULL,1,0,00.78850,NULL,NULL,b184b66c-049b-4658-b787-ec10ae04949c
