field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
costCodeId,yes,integer,yes,no,,100.0%,773,0,773,,yes,integer,5,5,0,73930,0.1%,CANDIDATE_KEY
costCode,yes,string,yes,no,100,100.0%,773,0,56,,,decimal,4,8,0,00.10805,19.9%,MIXED_FORMAT;NUMERIC_AS_STRING
description,yes,string,yes,no,100,100.0%,773,0,63,,,string,8,30,0,Mechanic,19.9%,
jobId,yes,integer,yes,no,,100.0%,773,0,157,,,integer,5,5,0,25142,6.5%,
quantity,yes,number,yes,no,,100.0%,773,0,2,,,string,4,4,0,NULL,99.9%,PLACEHOLDER_NULL;TYPE_MISMATCH
quantityUnitType,yes,string,yes,no,100,84.2%,651,122,7,,,string,2,2,0,EA,88.6%,WHITESPACE_NULL
note,yes,string,yes,no,100,100.0%,773,0,16,,,string,4,98,0,NULL,98.1%,PLACEHOLDER_NULL
createdTimestampUtc,yes,string,yes,no,,100.0%,773,0,12,,,string,4,19,0,NULL,93.5%,PLACEHOLDER_NULL;MIXED_FORMAT
isActive,yes,boolean,yes,no,,100.0%,773,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
isDeleted,yes,boolean,yes,no,,100.0%,773,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
accountingCode,yes,string,yes,no,100,100.0%,773,0,56,,,decimal,4,8,0,00.10805,19.9%,MIXED_FORMAT;NUMERIC_AS_STRING
estimatingCode,yes,string,yes,no,100,100.0%,773,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
costCodeTemplateId,yes,integer,yes,no,,100.0%,773,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,773,0,773,,yes,uuid,36,36,0,da0da1a8-ed0d-4148-a69e-f76b7c027c11,0.1%,CANDIDATE_KEY
