field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
itemCodeId,yes,integer,no,yes,,100.0%,172,0,172,,yes,integer,5,5,0,20490,0.6%,CANDIDATE_KEY
jobId,yes,integer,yes,no,,100.0%,172,0,156,,,integer,5,5,0,25006,1.2%,
createdTimestampUtc,yes,string,yes,no,,100.0%,172,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
itemCode,yes,string,no,yes,100,100.0%,172,0,14,,,integer,1,15,0,9999000,82.6%,MIXED_FORMAT;NUMERIC_AS_STRING
quantity,yes,number,yes,no,,100.0%,172,0,3,,,string,1,4,0,NULL,64.0%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
unitOfMeasure,yes,string,yes,no,100,100.0%,172,0,2,,,string,2,2,0,LS,82.0%,
description,yes,string,no,yes,100,100.0%,172,0,20,,,string,4,31,0,Indirect Items,82.6%,
note,yes,string,yes,no,100,100.0%,172,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
accountingCode,yes,string,yes,no,100,100.0%,172,0,14,,,integer,1,15,0,9999000,82.6%,MIXED_FORMAT;NUMERIC_AS_STRING
estimatingCode,yes,string,yes,no,100,100.0%,172,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
isActive,yes,boolean,yes,no,,100.0%,172,0,1,yes,,integer,1,1,0,1,100.0%,CONSTANT;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,172,0,172,,yes,uuid,36,36,0,49785eed-31b8-4608-9ad4-20e46242bacd,0.6%,CANDIDATE_KEY
