costCodeAssignmentId,itemCodeId,costCodeId,jobId,isDeleted,createdTimestampUtc,quantity,equipmentCostBudgetTotal,laborCostBudgetTotal,laborHoursBudgetTotal,uuid
72090,20488,73940,24977,0,NULL,0.00,NULL,NULL,NULL,39319a42-0ce1-4042-9287-cff61268bd59
72091,20488,73927,24977,0,NULL,0.00,NULL,NULL,NULL,57233372-2e40-418c-9907-47e99c818a1e
72092,20488,73928,24977,0,NULL,0.00,NULL,NULL,NULL,68595150-2bc9-4b23-8009-5a060ba11d41
72093,20488,73932,24977,0,NULL,0.00,NULL,NULL,NULL,6a86a795-2227-4cdd-affc-c6b5b4139c8a
72094,20490,73930,24976,0,NULL,0.00,NULL,NULL,NULL,ac0a6d3d-05c6-43bf-bc6f-93a904b54e01
72095,20490,73934,24976,0,NULL,0.00,NULL,NULL,NULL,b447b475-de89-4a00-9283-b9a867bfdcbe
72096,20490,73931,24976,0,NULL,0.00,NULL,NULL,NULL,a9c5e6a7-b9d5-43f8-94a5-21df985ab6df
72097,20488,73929,24977,0,NULL,0.00,NULL,NULL,NULL,7900ac4e-94ae-4df4-838a-15c8470dfb8e
72098,20490,73933,24976,0,NULL,0.00,NULL,NULL,NULL,fa40e3c6-9679-447e-bcca-d3901157a3af
72099,20499,73938,24975,0,NULL,0.00,NULL,NULL,NULL,6970b994-3c1b-4c95-a132-d40f4721684b
72100,20499,73936,24975,0,NULL,0.00,NULL,NULL,NULL,f98bcd09-0e67-484f-95f8-cc5f3568e727
72101,20499,73935,24975,0,NULL,0.00,NULL,NULL,NULL,5f70a0a0-dea5-4858-83cc-be108bc22c66
72102,20499,73939,24975,0,NULL,0.00,NULL,NULL,NULL,1f26f076-5b7a-42b4-ab7a-0301fda5223a
72103,20489,73941,24978,0,NULL,2.00,NULL,NULL,NULL,462a05ed-d3e7-4441-90a7-09f318802486
72104,20489,73942,24978,0,NULL,0.00,NULL,NULL,NULL,d26cccf5-5063-4cfd-8e8e-e7de6cf15451
72105,20499,73937,24975,0,NULL,0.00,NULL,NULL,NULL,c6a1e9a4-6abb-4902-97ed-d374522d115a
72106,20489,73943,24978,0,NULL,0.00,NULL,NULL,NULL,9ea9dd6a-b324-4903-b03a-bf6a6f6c6203
72107,20489,73945,24978,0,NULL,0.00,NULL,NULL,NULL,2e137fc9-b3e7-4108-b726-4c46cb72c82f
72108,20495,73948,24979,0,NULL,0.00,NULL,NULL,NULL,3b91d134-03e9-46e4-a4e6-1e42f72e59d2
72109,20495,73947,24979,0,NULL,0.00,NULL,NULL,NULL,b48cdec0-4bd5-44a2-948b-a189631b30db
72110,20489,73944,24978,0,NULL,0.00,NULL,NULL,NULL,2b8c8521-f08d-4b3d-821e-7c0c06a3fc41
72111,20495,73946,24979,0,NULL,0.00,NULL,NULL,NULL,39d86c2c-0023-4ee8-a95e-dbdb307270bc
72112,20495,73951,24979,0,NULL,0.00,NULL,NULL,NULL,6a874664-933f-4568-8cff-1ee3935236fa
