field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
costCodeAssignmentId,yes,integer,no,yes,,100.0%,722,0,722,,yes,integer,5,5,0,72090,0.1%,CANDIDATE_KEY
itemCodeId,yes,integer,yes,no,,100.0%,722,0,167,,,integer,5,5,0,20488,0.7%,
costCodeId,yes,integer,no,yes,,100.0%,722,0,722,,yes,integer,5,5,0,73940,0.1%,CANDIDATE_KEY
jobId,yes,integer,no,yes,,100.0%,722,0,156,,,integer,5,5,0,24987,0.8%,
isDeleted,yes,boolean,no,yes,,100.0%,722,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
createdTimestampUtc,yes,string,yes,no,,100.0%,722,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
quantity,yes,number,yes,no,,100.0%,722,0,19,,,decimal,4,8,0,0.00,88.0%,
equipmentCostBudgetTotal,yes,number,yes,no,,100.0%,722,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
laborCostBudgetTotal,yes,number,yes,no,,100.0%,722,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
laborHoursBudgetTotal,yes,number,yes,no,,100.0%,722,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,722,0,722,,yes,uuid,36,36,0,39319a42-0ce1-4042-9287-cff61268bd59,0.1%,CANDIDATE_KEY
