field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
equipmentMoveId,yes,integer,no,yes,,100.0%,253,0,253,,yes,integer,6,6,0,419038,0.4%,CANDIDATE_KEY
equipmentId,yes,integer,no,yes,,100.0%,253,0,125,,,integer,5,5,0,52083,5.5%,
createdByUserId,yes,integer,yes,no,,100.0%,253,0,3,,,integer,2,5,0,45,98.4%,
createdTimestampUtc,yes,string,yes,no,,100.0%,253,0,251,,,date,19,19,0,2026-08-07 15:29:54,0.8%,
isDeleted,yes,boolean,yes,no,,100.0%,253,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT;TYPE_MISMATCH
fromLocationId,yes,integer,no,yes,,100.0%,253,0,35,,,integer,5,5,0,24981,12.3%,
toLocationId,yes,integer,no,yes,,100.0%,253,0,27,,,integer,5,5,0,24981,22.9%,
moveNote,yes,string,yes,no,,99.6%,252,1,8,,,string,4,26,0,Samsara Vehicle Location,37.7%,
scheduledMoveId,yes,integer,yes,no,,100.0%,253,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,253,0,253,,yes,uuid,36,36,0,03badca8-8e3d-49df-b7de-ec4c2f9d34ef,0.4%,CANDIDATE_KEY
