field,in_schema,declared_type,nullable,required,declared_maxlen,fill_pct,populated,empty,distinct,is_constant,is_unique,observed_type,min_len,max_len,padded,top_value,top_pct,flags
workOrderId,yes,integer,no,yes,,100.0%,1737,0,1737,,yes,integer,5,5,0,97133,0.1%,CANDIDATE_KEY
equipmentId,yes,integer,no,yes,,100.0%,1737,0,664,,,integer,5,5,0,55224,2.1%,
datePerformed,yes,string,yes,no,,100.0%,1737,0,490,,,date,10,10,0,2010-01-01,13.2%,
hourMeterId,yes,integer,yes,no,,100.0%,1737,0,731,,,string,4,8,0,NULL,57.2%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
odometerId,yes,integer,yes,no,,100.0%,1737,0,60,,,string,4,7,0,NULL,96.2%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
note,yes,string,yes,no,,99.7%,1732,5,236,,,string,2,1403,37,Imported by IVO Systems on 2026.08.05.,85.0%,PADDED
createdTimestampUtc,yes,string,yes,no,,100.0%,1737,0,580,,,date,19,19,0,2026-08-05 14:38:30,2.4%,
createdByUserId,yes,integer,yes,no,,100.0%,1737,0,20,,,integer,2,5,0,45,84.9%,
isDeleted,yes,boolean,yes,no,,100.0%,1737,0,2,,,integer,1,1,0,0,80.3%,TYPE_MISMATCH
isActive,yes,boolean,yes,no,,100.0%,1737,0,2,,,integer,1,1,0,1,80.3%,TYPE_MISMATCH
isPmPerformed,yes,boolean,yes,no,,100.0%,1737,0,2,,,integer,1,1,0,1,55.4%,TYPE_MISMATCH
workOrderStatus,yes,integer,yes,no,,100.0%,1737,0,4,,,integer,1,1,0,3,86.9%,
updatedTimestampUtc,yes,string,yes,no,,100.0%,1737,0,264,,,date,19,19,0,2026-08-18 20:38:08,84.9%,
sortOrder,yes,integer,yes,no,,100.0%,1737,0,1,yes,,integer,1,1,0,0,100.0%,CONSTANT
lastUpdatedByUserId,yes,integer,yes,no,,100.0%,1737,0,9,,,integer,4,5,0,9236,65.1%,PLACEHOLDER_NULL;MIXED_FORMAT
substatusId,yes,integer,yes,no,,100.0%,1737,0,48,,,string,1,4,0,NULL,85.9%,PLACEHOLDER_NULL;MIXED_FORMAT;TYPE_MISMATCH
uuid,yes,string,no,yes,,100.0%,1737,0,1737,,yes,uuid,36,36,0,65b3c4b7-8ae4-458f-8e40-643424ab5169,0.1%,CANDIDATE_KEY
externalCompanyCode,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
externalWorkOrderNumber,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
externalWorkOrderType,yes,string,yes,no,,100.0%,1737,0,2,,,string,1,1,0,J,84.9%,
externalJobNumber,yes,string,yes,no,,100.0%,1737,0,2,,,string,3,4,0,NULL,99.9%,PLACEHOLDER_NULL
externalCustomerNumber,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
externalServiceStore,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
estimatedArrivalDate,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
completionDate,yes,string,yes,no,,100.0%,1737,0,949,,,date,4,19,0,NULL,45.4%,PLACEHOLDER_NULL;MIXED_FORMAT
scheduledStart,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
requestedDate,yes,string,yes,no,,100.0%,1737,0,1,yes,,string,4,4,0,NULL,100.0%,CONSTANT;PLACEHOLDER_NULL
