field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,Unique key for the equipment PM template object,confirm,unknown,,,100.0%,217,,confirm,not established by supplied schema or observations
companyEquipmentPmTemplateId,integer,no,yes,no,,,Ivo Systems identifier for the equipment PM template object.,confirm,unknown,,,100.0%,217,,confirm,not established by supplied schema or observations
pmTypeId,integer,yes,no,no,,,"Type of PM template (1 = Hr Interval, 2 = Od Interval, 3 = Date Interval, 4 = Fixed Hr, 5 = Fixed Od, 6 = Fixed Date)",confirm,unknown,,,100.0%,4,,confirm,not established by supplied schema or observations
pmName,string,no,yes,no,,,Identifying name for the PM template,confirm,unknown,,,100.0%,217,,confirm,not established by supplied schema or observations
intervalHours,integer,yes,no,no,,,"Number of hours until PM is due on equipment (i.e. if interval is every 500 hours, this would be 500)",confirm,unknown,,,100.0%,10,,confirm,not established by supplied schema or observations
intervalDays,integer,yes,no,no,,,"Number of days until PM is due on equipment (i.e. if interval is every 90 days, this would be 90)",confirm,unknown,,,100.0%,5,,confirm,not established by supplied schema or observations
intervalOdometer,integer,yes,no,no,,,"Number of miles until PM is due on equipment (i.e. if interval is every 5000 miles, this would be 5000)",confirm,unknown,,,100.0%,9,,confirm,not established by supplied schema or observations
fixedDate,string,yes,no,no,,,Fixed date to flag when PM is due on equipment,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
fixedHours,integer,yes,no,no,,,Fixed one time hours to flag when PM is due on equipment,confirm,unknown,,,100.0%,9,,confirm,not established by supplied schema or observations
fixedOdometer,integer,yes,no,no,,,Fixed one time mileage to flag when PM is due on equipment,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
partsNote,string,yes,no,no,,,Parts required to complete the PM work,confirm,unknown,,,93.1%,3,,confirm,not established by supplied schema or observations
workNote,string,yes,no,no,,,Work to be completed for pm template,confirm,unknown,,,99.1%,132,,confirm,not established by supplied schema or observations
triggerDays,integer,yes,no,no,,,Set number of days to alert you at prior to PM being due,confirm,unknown,,,100.0%,5,,confirm,not established by supplied schema or observations
triggerHours,integer,yes,no,no,,,Set number of hours to alert you at prior to PM being due,confirm,unknown,,,100.0%,8,,confirm,not established by supplied schema or observations
triggerOdometer,integer,yes,no,no,,,Set number of miles to alert you at prior to PM being due,confirm,unknown,,,100.0%,4,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,217,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
applyChangesToChildren,boolean,yes,no,no,,,Apply changes to pm templates assigned to equipment when this pm template is updated,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
companyId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
