field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,1283,,confirm,not established by supplied schema or observations
performedId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1283,,confirm,not established by supplied schema or observations
equipmentId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,602,,confirm,not established by supplied schema or observations
setupId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1231,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,7,,confirm,not established by supplied schema or observations
datePerformed,string,yes,no,no,,,,confirm,unknown,,,100.0%,458,,confirm,not established by supplied schema or observations
hoursPerformed,integer,yes,no,no,,,,confirm,unknown,,,100.0%,681,,confirm,not established by supplied schema or observations
odometerPerformed,integer,yes,no,no,,,,confirm,unknown,,,100.0%,59,,confirm,not established by supplied schema or observations
workOrderId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,908,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,946,,confirm,not established by supplied schema or observations
note,string,yes,no,no,,,,confirm,unknown,,,99.9%,2,,confirm,not established by supplied schema or observations
