field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,1742,,confirm,not established by supplied schema or observations
setupId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1742,,confirm,not established by supplied schema or observations
equipmentId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,682,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,1240,,confirm,not established by supplied schema or observations
pmTypeId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,5,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
isActive,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
pmName,string,no,yes,no,,,,confirm,unknown,,,100.0%,213,,confirm,not established by supplied schema or observations
intervalHours,integer,yes,no,no,,,,confirm,unknown,,,100.0%,10,,confirm,not established by supplied schema or observations
intervalDays,integer,yes,no,no,,,,confirm,unknown,,,100.0%,4,,confirm,not established by supplied schema or observations
intervalOdometer,integer,yes,no,no,,,,confirm,unknown,,,100.0%,9,,confirm,not established by supplied schema or observations
beginningHours,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
beginningDate,string,yes,no,no,,,,confirm,unknown,,,100.0%,3,,confirm,not established by supplied schema or observations
beginningOdometer,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
fixedDate,string,yes,no,no,,,,confirm,unknown,,,100.0%,3,,confirm,not established by supplied schema or observations
fixedHours,integer,yes,no,no,,,,confirm,unknown,,,100.0%,9,,confirm,not established by supplied schema or observations
fixedOdometer,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
partsNote,string,yes,no,no,,,,confirm,unknown,,,80.9%,3,,confirm,not established by supplied schema or observations
workNote,string,yes,no,no,,,,confirm,unknown,,,99.8%,131,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
triggerDays,integer,yes,no,no,,,,confirm,unknown,,,100.0%,5,,confirm,not established by supplied schema or observations
triggerHours,integer,yes,no,no,,,,confirm,unknown,,,100.0%,8,,confirm,not established by supplied schema or observations
triggerOdometer,integer,yes,no,no,,,,confirm,unknown,,,100.0%,4,,confirm,not established by supplied schema or observations
lastPmPerformedId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1230,,confirm,not established by supplied schema or observations
companyEquipmentPmTemplateId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,207,,confirm,not established by supplied schema or observations
