field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,Unique key for the employee group,confirm,unknown,,,100.0%,34,,confirm,not established by supplied schema or observations
employeeGroupId,integer,yes,no,no,,,Ivo Systems database ID for the employee group,confirm,unknown,,,100.0%,34,,confirm,not established by supplied schema or observations
companyId,integer,no,yes,no,,,Ivo Systems company ID this group belongs to,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
employeeGroupName,string,no,yes,no,,,Display name for the employee group,confirm,unknown,,,100.0%,34,,confirm,not established by supplied schema or observations
employeeGroupDescription,string,yes,no,no,,,Description of the employee group,confirm,unknown,,,97.1%,1,,confirm,not established by supplied schema or observations
employeeGroupColor,string,yes,no,no,,,Hex color code for the employee group,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,User ID that created this group,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,UTC timestamp when the group was created,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
isActive,boolean,yes,no,no,,,Whether the group is currently active,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,Whether the group has been soft deleted,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
canAccessEquipment,boolean,yes,no,no,,,Permission flag: group members can access equipment,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
canAccessOtherEmployees,boolean,yes,no,no,,,Permission flag: group members can access other employees,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
canAccessDailyJobNotes,boolean,yes,no,no,,,Permission flag: group members can access daily job notes,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
canAccessOtherEmployeeDetails,boolean,yes,no,no,,,Permission flag: group members can access other employee details,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
canAccessJobInformation,boolean,yes,no,no,,,Permission flag: group members can access job information,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
