field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,Unique key for the job,confirm,unknown,,,100.0%,169,,confirm,not established by supplied schema or observations
jobId,integer,yes,no,no,,,Example primary key of the object,confirm,unknown,,,100.0%,169,,confirm,not established by supplied schema or observations
jobNumber,string,yes,no,no,,75,job number if it exists,confirm,unknown,,,100.0%,169,,confirm,not established by supplied schema or observations
jobShortName,string,no,no,no,,100,job description without job number or job display name,confirm,unknown,,,100.0%,167,,confirm,not established by supplied schema or observations
jobColor,string,yes,no,no,,75,color displayed on TrackVO and ScheduleVO,confirm,unknown,,,100.0%,7,,confirm,not established by supplied schema or observations
divisionId,integer,yes,no,no,,,The division id of the job,confirm,unknown,,,100.0%,6,,confirm,not established by supplied schema or observations
divisionDisplayName,string,yes,no,no,,150,Short name of the division,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
jobTypeId,integer,yes,no,no,,,"1 - Job, 2 - Facility, 3 - Other, 4 - Vendor, 4 > Unknown",confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
jobTypeDisplayName,string,yes,no,no,,50,"Job, Facility, Other, Vendor, Unknown",confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
jobDisplayNameWithJobNumber,string,yes,no,no,,200,job number and job short name,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
jobDisplayName,string,yes,no,no,,150,job name - short,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
jobLongName,string,yes,no,no,,150,job name - long,confirm,unknown,,,95.9%,157,,confirm,not established by supplied schema or observations
jobDescription,string,yes,no,no,,255,project description,confirm,unknown,,,98.8%,165,,confirm,not established by supplied schema or observations
isActive,boolean,yes,no,no,,,Is the job active,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
emergencyHospitalName,string,yes,no,no,,100,,confirm,unknown,,,1.2%,1,,confirm,not established by supplied schema or observations
emergencyHospitalAddress,string,yes,no,no,,150,,confirm,unknown,,,1.2%,1,,confirm,not established by supplied schema or observations
emergencyHospitalPhone,string,yes,no,no,,45,,confirm,unknown,,,1.2%,1,,confirm,not established by supplied schema or observations
accountingCode,string,yes,no,no,,100,Accounting code,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
estimatingCode,string,yes,no,no,,100,Estimating code,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
organizations,array,yes,no,no,,,List of company organizations the job belongs to,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
