field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,Unique key for the cost code,confirm,unknown,,,100.0%,773,,confirm,not established by supplied schema or observations
costCodeId,integer,yes,no,no,,,Cost Code unique ID,confirm,unknown,,,100.0%,773,,confirm,not established by supplied schema or observations
costCode,string,yes,no,no,,100,Name of the cost code,confirm,unknown,,,100.0%,56,,confirm,not established by supplied schema or observations
description,string,yes,no,no,,100,Description of the cost code,confirm,unknown,,,100.0%,63,,confirm,not established by supplied schema or observations
jobId,integer,yes,no,no,,,Job ID where cost code is used,confirm,unknown,,,100.0%,157,,confirm,not established by supplied schema or observations
quantity,number,yes,no,no,,,floating point number of the quantity of the cost code unit,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
quantityUnitType,string,yes,no,no,,100,User defined quantity unit type,confirm,unknown,,,84.2%,7,,confirm,not established by supplied schema or observations
note,string,yes,no,no,,100,Cost code notes,confirm,unknown,,,100.0%,16,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,Current timestamp at creation of the cost code,confirm,unknown,,,100.0%,12,,confirm,not established by supplied schema or observations
isActive,boolean,yes,no,no,,,Cost code can be used,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,Cost code can no longer be used,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
accountingCode,string,yes,no,no,,100,Cost code accounting code number,confirm,unknown,,,100.0%,56,,confirm,not established by supplied schema or observations
estimatingCode,string,yes,no,no,,100,Estimating code for the cost code,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
costCodeTemplateId,integer,yes,no,no,,,An ID of a quick setup template,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
