field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,20203,,confirm,not established by supplied schema or observations
equipmentId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,547,,confirm,not established by supplied schema or observations
companyId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
meterId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,20203,,confirm,not established by supplied schema or observations
totalMeter,number,yes,no,no,,,,confirm,unknown,,,100.0%,13349,,confirm,not established by supplied schema or observations
timestamp,string,yes,no,no,,,,confirm,unknown,,,100.0%,17871,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,9571,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
source,string,yes,no,no,,,,confirm,unknown,,,100.0%,11,,confirm,not established by supplied schema or observations
note,string,yes,no,no,,,,confirm,unknown,,,1.2%,17,,confirm,not established by supplied schema or observations
meterType,string,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
equipmentCode,string,no,yes,no,,,,confirm,unknown,,,100.0%,547,,confirm,not established by supplied schema or observations
