field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,253,,confirm,not established by supplied schema or observations
equipmentMoveId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,253,,confirm,not established by supplied schema or observations
equipmentId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,125,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,3,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,251,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
fromLocationId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,35,,confirm,not established by supplied schema or observations
toLocationId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,27,,confirm,not established by supplied schema or observations
moveNote,string,yes,no,no,,,,confirm,unknown,,,99.6%,8,,confirm,not established by supplied schema or observations
scheduledMoveId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
