field,type,nullable,required,write_only,format,max_length,description,ownership,mapping_behavior,reference_object,default_value,observed_fill_pct,observed_distinct,observed_classification,status,notes
uuid,string,no,yes,no,uuid,,,confirm,unknown,,,100.0%,1737,,confirm,not established by supplied schema or observations
workOrderId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,1737,,confirm,not established by supplied schema or observations
equipmentId,integer,no,yes,no,,,,confirm,unknown,,,100.0%,664,,confirm,not established by supplied schema or observations
datePerformed,string,yes,no,no,,,,confirm,unknown,,,100.0%,490,,confirm,not established by supplied schema or observations
hourMeterId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,731,,confirm,not established by supplied schema or observations
odometerId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,60,,confirm,not established by supplied schema or observations
note,string,yes,no,no,,,,confirm,unknown,,,99.7%,236,,confirm,not established by supplied schema or observations
createdTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,580,,confirm,not established by supplied schema or observations
createdByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,20,,confirm,not established by supplied schema or observations
isDeleted,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
isActive,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
isPmPerformed,boolean,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
workOrderStatus,integer,yes,no,no,,,,confirm,unknown,,,100.0%,4,,confirm,not established by supplied schema or observations
updatedTimestampUtc,string,yes,no,no,,,,confirm,unknown,,,100.0%,264,,confirm,not established by supplied schema or observations
sortOrder,integer,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
lastUpdatedByUserId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,9,,confirm,not established by supplied schema or observations
substatusId,integer,yes,no,no,,,,confirm,unknown,,,100.0%,48,,confirm,not established by supplied schema or observations
externalCompanyCode,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
externalWorkOrderNumber,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
externalWorkOrderType,string,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
externalJobNumber,string,yes,no,no,,,,confirm,unknown,,,100.0%,2,,confirm,not established by supplied schema or observations
externalCustomerNumber,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
externalServiceStore,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
estimatedArrivalDate,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
completionDate,string,yes,no,no,,,,confirm,unknown,,,100.0%,949,,confirm,not established by supplied schema or observations
scheduledStart,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
requestedDate,string,yes,no,no,,,,confirm,unknown,,,100.0%,1,,confirm,not established by supplied schema or observations
